model,params,score
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.00379269019073225)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.007847599703514606)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.01623776739188721)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.03359818286283781)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.06951927961775606)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.14384498882876628)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.29763514416313164)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 0.615848211066026)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 1.2742749857031321)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 2.6366508987303554)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 5.455594781168514)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 11.288378916846883)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 23.357214690901213)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 48.32930238571752)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'lbfgs', 100.0)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.0001)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.00020691380811147902)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.00042813323987193956)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.0008858667904100823)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.0018329807108324356)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.00379269019073225)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.007847599703514606)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.01623776739188721)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.03359818286283781)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.06951927961775606)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.14384498882876628)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.29763514416313164)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 0.615848211066026)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 1.2742749857031321)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 2.6366508987303554)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 5.455594781168514)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 11.288378916846883)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 23.357214690901213)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 48.32930238571752)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'sgd', 100.0)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.0001)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.00020691380811147902)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.00042813323987193956)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.0008858667904100823)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.0018329807108324356)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.00379269019073225)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.007847599703514606)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.01623776739188721)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.03359818286283781)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.06951927961775606)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.14384498882876628)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.29763514416313164)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 0.615848211066026)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 1.2742749857031321)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 2.6366508987303554)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 5.455594781168514)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 11.288378916846883)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 23.357214690901213)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 48.32930238571752)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'tanh', 'adam', 100.0)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.0001)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.00020691380811147902)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.00042813323987193956)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.0008858667904100823)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.0018329807108324356)",0.2857142857142857
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.00379269019073225)",0.3333333333333333
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.007847599703514606)",0.3333333333333333
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.01623776739188721)",0.5238095238095238
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.03359818286283781)",0.3333333333333333
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.06951927961775606)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.14384498882876628)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.29763514416313164)",0.23809523809523808
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 0.615848211066026)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 1.2742749857031321)",0.2857142857142857
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 2.6366508987303554)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 5.455594781168514)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 11.288378916846883)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 23.357214690901213)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 48.32930238571752)",0.47619047619047616
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'lbfgs', 100.0)",0.38095238095238093
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'sgd', 0.0001)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'sgd', 0.00020691380811147902)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'sgd', 0.00042813323987193956)",0.42857142857142855
neural_network_classifier,"((80, 20, 40, 5), 'relu', 'sgd', 0.0008858667904100823)",0.42857142857142855
